請問您的生理性別（以身分證的資訊為準）？,請問您的出生年（民國，以身分證的資訊為準）？,請問您是否有實際簽署罷免立委的連署書（包含一階或二階）？,沒有參與的原因是？,若以下的價值只能選兩個，你會優先為下一代選擇什麼樣的社會？,你覺得這屆立法委員的表現破壞了哪些價值？（若超過兩個，請選兩個最主要的）,請勾選以下你贊同的論述（可複選）,請問您選區的現任立委是？,上次（2024 年 1 月 13 日）總統選舉，請問您投給誰？,上次（2024 年 1 月 13 日）區域跟原住民立委的選舉，請問您投給哪個政黨的立委？
女,77,否,我沒有意願,"經濟發展, 和平",都沒有破壞,我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）,鄭正鈐（新竹市）,沒去投票,沒去投票
女,81,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","民主, 自由","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",蔡其昌（台中市）,賴清德,民進黨
男,79,是,,"民主, 自由","民主, 自由","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",洪孟楷（新北市）,賴清德,民進黨
男,80,是,,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",王鴻薇（台北市）,沒去投票,沒去投票
女,83,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","民主, 自由","我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委推動親中政策",李柏毅（高雄市）,賴清德,民進黨
男,78,是,,"秩序, 民主","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",李彥秀（台北市）,賴清德,民進黨
女,80,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"秩序, 和平","秩序, 平等","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我認為部分立委立法品質不佳，部分被判定違憲",林德福（新北市）,忘記了,國民黨
女,79,否,我有意願但還沒連署,"經濟發展, 秩序","秩序, 民主","我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策",顏寬恒（台中市）,賴清德,民進黨
男,75,是,,"自由, 平等","守法, 平等","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",林德福（新北市）,賴清德,民進黨
女,68,否,我沒有意願,"經濟發展, 自由","經濟發展, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委未落實監督政府的責任",羅智強（台北市）,柯文哲,其他政黨
男,82,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策",蘇巧慧（新北市）,賴清德,民進黨
男,81,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"秩序, 和平","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委無端破壞議事規則, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委未落實監督政府的責任",陳冠廷（嘉義縣）,柯文哲,國民黨
男,67,是,,"守法, 自由","秩序, 自由","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",羅明才（新北市）,賴清德,民進黨
男,75,否,我沒有意願,"自由, 平等","民主, 自由","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委無端破壞議事規則, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委未落實監督政府的責任",李彥秀（台北市）,侯友宜,國民黨
女,90,是,,"經濟發展, 秩序","秩序, 守法","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",羅廷瑋（台中市）,賴清德,民進黨
女,86,否,我有意願但還沒連署,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",丁學忠（雲林縣）,賴清德,民進黨
女,89,是,,"民主, 自由","民主, 和平","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",傅崐萁（花蓮縣）,賴清德,民進黨
隱匿此資訊,75,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",蔡其昌（台中市）,賴清德,民進黨
男,78,是,,"自由, 和平","秩序, 和平","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",邱若華（桃園市）,賴清德,民眾黨
女,74,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",吳秉叡（新北市）,賴清德,忘記了
